iter	Passed	Remaining
0	60	60241
1	60	30229
2	60	20211
3	61	15200
4	61	12195
5	61	10192
6	61	8764
7	62	7690
8	62	6858
9	62	6190
10	62	5642
11	62	5186
12	63	4799
13	63	4468
14	63	4182
15	63	3931
16	64	3709
17	64	3513
18	64	3337
19	64	3179
20	65	3035
21	65	2904
22	65	2785
23	65	2675
24	66	2574
25	66	2482
26	66	2396
27	66	2320
28	67	2248
29	67	2178
30	67	2113
31	67	2052
32	68	1994
33	68	1941
34	68	1889
35	68	1841
36	69	1796
37	69	1753
38	69	1712
39	69	1673
40	69	1636
41	70	1600
42	70	1567
43	70	1538
44	71	1523
45	72	1494
46	72	1467
47	72	1441
48	73	1417
49	73	1392
50	73	1369
51	73	1346
52	74	1324
53	74	1303
54	74	1283
55	74	1264
56	75	1245
57	75	1227
58	75	1209
59	76	1191
60	76	1174
61	76	1158
62	76	1142
63	77	1127
64	77	1113
65	77	1099
66	78	1086
67	78	1073
68	78	1059
69	78	1047
70	79	1035
71	79	1023
72	79	1011
73	79	1000
74	80	989
75	80	978
76	80	967
77	81	957
78	81	947
79	81	937
80	81	928
81	82	918
82	82	908
83	82	899
84	82	890
85	83	882
86	83	874
87	83	866
88	83	858
89	84	850
90	84	843
91	84	835
92	84	828
93	85	821
94	85	814
95	85	808
96	86	801
97	86	794
98	86	788
99	86	781
100	87	775
101	87	770
102	87	764
103	88	758
104	88	752
105	88	746
106	88	740
107	88	734
108	89	729
109	89	724
110	89	719
111	90	714
112	90	709
113	90	704
114	90	699
115	91	695
116	91	690
117	91	685
118	91	681
119	92	676
120	92	671
121	92	666
122	92	662
123	93	658
124	93	654
125	93	650
126	93	645
127	94	642
128	94	638
129	94	634
130	95	631
131	95	627
132	96	628
133	96	624
134	96	621
135	97	617
136	97	614
137	97	610
138	98	607
139	98	603
140	98	600
141	98	596
142	99	593
143	99	590
144	99	587
145	99	584
146	100	581
147	100	577
148	100	574
149	100	571
150	101	568
151	101	565
152	101	562
153	101	560
154	102	557
155	102	554
156	102	552
157	103	549
158	103	546
159	103	544
160	103	541
161	104	538
162	104	536
163	104	533
164	104	530
165	105	528
166	105	525
167	105	522
168	105	520
169	106	517
170	106	515
171	106	512
172	106	510
173	106	507
174	107	505
175	107	503
176	107	501
177	107	498
178	108	496
179	108	494
180	108	492
181	109	490
182	109	488
183	109	486
184	110	484
185	110	482
186	110	480
187	110	478
188	111	476
189	111	474
190	111	472
191	111	470
192	112	468
193	112	466
194	112	464
195	112	463
196	113	461
197	113	459
198	113	458
199	114	456
200	114	454
201	114	453
202	114	451
203	115	449
204	115	447
205	115	446
206	116	444
207	116	442
208	116	441
209	116	439
210	117	437
211	117	435
212	117	434
213	117	432
214	118	430
215	118	429
216	118	427
217	118	426
218	119	424
219	119	423
220	119	421
221	119	420
222	120	418
223	120	417
224	120	415
225	120	414
226	121	412
227	121	411
228	121	409
229	122	408
230	122	407
231	122	405
232	122	404
233	123	403
234	123	401
235	123	400
236	123	399
237	124	397
238	124	396
239	124	394
240	124	393
241	125	392
242	125	391
243	125	389
244	126	388
245	126	387
246	126	385
247	126	384
248	127	383
249	127	382
250	127	380
251	127	379
252	128	378
253	128	377
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	129	369
260	130	368
261	130	367
262	130	366
263	130	365
264	131	364
265	131	363
266	131	362
267	132	361
268	132	359
269	132	358
270	133	357
271	133	356
272	133	355
273	133	354
274	134	353
275	134	352
276	134	352
277	135	350
278	135	349
279	135	348
280	135	347
281	136	346
282	136	345
283	136	344
284	136	343
285	137	342
286	137	341
287	137	340
288	137	339
289	138	338
290	138	338
291	138	336
292	139	336
293	139	335
294	139	334
295	140	333
296	141	334
297	141	333
298	141	332
299	142	331
300	142	331
301	143	331
302	143	330
303	143	329
304	144	328
305	144	327
306	144	326
307	144	325
308	145	324
309	145	323
310	145	322
311	145	321
312	146	320
313	146	320
314	146	319
315	146	318
316	147	317
317	147	316
318	147	315
319	148	314
320	148	314
321	148	313
322	148	312
323	149	311
324	149	310
325	149	309
326	150	309
327	150	308
328	150	307
329	151	306
330	151	305
331	151	304
332	151	304
333	152	303
334	152	302
335	152	301
336	152	300
337	153	300
338	153	299
339	153	298
340	154	297
341	154	297
342	154	296
343	155	295
344	155	295
345	155	294
346	155	293
347	156	292
348	156	292
349	156	291
350	157	290
351	157	289
352	157	289
353	158	288
354	158	287
355	158	286
356	158	286
357	159	285
358	159	284
359	159	283
360	159	283
361	160	282
362	160	281
363	160	280
364	161	280
365	161	279
366	161	278
367	161	277
368	162	277
369	162	276
370	162	275
371	162	275
372	163	274
373	163	273
374	163	272
375	163	272
376	164	271
377	164	270
378	164	269
379	165	269
380	165	268
381	165	267
382	165	267
383	165	266
384	166	265
385	166	264
386	166	264
387	167	263
388	167	262
389	167	262
390	167	261
391	168	260
392	168	259
393	168	259
394	168	258
395	169	257
396	169	257
397	169	256
398	169	256
399	170	255
400	170	254
401	170	254
402	171	253
403	171	252
404	171	252
405	172	251
406	172	251
407	172	250
408	172	249
409	173	249
410	173	248
411	173	247
412	173	247
413	174	246
414	174	245
415	174	245
416	174	244
417	175	243
418	175	243
419	175	242
420	175	242
421	176	241
422	176	240
423	176	240
424	177	239
425	177	238
426	177	238
427	177	237
428	178	237
429	178	236
430	178	235
431	178	235
432	179	234
433	179	234
434	179	233
435	180	232
436	180	232
437	180	231
438	180	230
439	180	230
440	181	229
441	181	229
442	181	228
443	181	227
444	182	227
445	182	226
446	182	226
447	183	225
448	183	224
449	183	224
450	183	223
451	184	223
452	184	222
453	184	222
454	184	221
455	185	220
456	185	220
457	185	219
458	186	219
459	186	218
460	186	218
461	187	217
462	187	217
463	187	216
464	188	216
465	188	215
466	188	215
467	188	214
468	189	214
469	189	213
470	189	212
471	189	212
472	190	211
473	190	211
474	190	210
475	190	210
476	191	209
477	191	209
478	191	208
479	192	208
480	192	207
481	192	207
482	192	206
483	193	205
484	193	205
485	193	204
486	193	204
487	194	203
488	194	203
489	194	202
490	195	202
491	195	201
492	195	201
493	195	200
494	196	199
495	196	199
496	196	198
497	196	198
498	197	197
499	197	197
500	197	196
501	197	196
502	198	195
503	198	195
504	198	194
505	198	194
506	199	193
507	199	193
508	199	192
509	200	192
510	200	191
511	200	191
512	200	190
513	201	190
514	201	189
515	201	189
516	202	188
517	202	188
518	202	187
519	203	187
520	203	187
521	203	186
522	203	186
523	204	185
524	204	185
525	204	184
526	205	184
527	205	183
528	205	183
529	205	182
530	206	182
531	206	181
532	206	181
533	207	180
534	207	180
535	207	179
536	207	179
537	208	178
538	208	178
539	208	177
540	209	177
541	209	176
542	209	176
543	209	175
544	210	175
545	210	174
546	210	174
547	210	173
548	211	173
549	211	173
550	211	172
551	212	172
552	212	171
553	212	171
554	212	170
555	213	170
556	213	169
557	213	169
558	214	168
559	214	168
560	214	168
561	214	167
562	215	167
563	215	166
564	215	166
565	216	165
566	216	165
567	216	164
568	216	164
569	217	163
570	217	163
571	217	163
572	218	162
573	218	162
574	218	161
575	219	161
576	219	160
577	219	160
578	220	160
579	220	159
580	220	159
581	220	158
582	221	158
583	221	157
584	221	157
585	222	156
586	222	156
587	222	155
588	222	155
589	223	155
590	223	154
591	224	154
592	224	154
593	225	153
594	225	153
595	225	152
596	226	152
597	226	152
598	226	151
599	226	151
600	227	150
601	227	150
602	227	149
603	227	149
604	228	148
605	228	148
606	228	147
607	228	147
608	229	147
609	229	146
610	229	146
611	229	145
612	230	145
613	230	144
614	230	144
615	230	143
616	231	143
617	231	143
618	231	142
619	232	142
620	232	141
621	232	141
622	233	141
623	233	140
624	233	140
625	233	139
626	234	139
627	234	138
628	234	138
629	235	138
630	235	137
631	235	137
632	235	136
633	236	136
634	236	135
635	236	135
636	237	135
637	237	134
638	237	134
639	238	133
640	238	133
641	238	133
642	238	132
643	239	132
644	239	131
645	239	131
646	239	130
647	240	130
648	240	130
649	240	129
650	240	129
651	241	128
652	241	128
653	241	127
654	242	127
655	242	127
656	242	126
657	242	126
658	243	125
659	243	125
660	243	124
661	243	124
662	244	124
663	244	123
664	244	123
665	245	122
666	245	122
667	245	122
668	245	121
669	246	121
670	246	120
671	246	120
672	246	119
673	247	119
674	247	119
675	247	118
676	247	118
677	248	117
678	248	117
679	248	117
680	249	116
681	249	116
682	249	115
683	250	115
684	250	115
685	250	114
686	251	114
687	251	114
688	251	113
689	251	113
690	252	112
691	252	112
692	252	111
693	253	111
694	253	111
695	253	110
696	253	110
697	254	109
698	254	109
699	254	109
700	254	108
701	255	108
702	255	107
703	255	107
704	256	107
705	256	106
706	256	106
707	256	105
708	257	105
709	257	105
710	257	104
711	257	104
712	258	103
713	258	103
714	258	103
715	258	102
716	259	102
717	259	101
718	259	101
719	259	101
720	260	100
721	260	100
722	260	99
723	260	99
724	261	99
725	261	98
726	261	98
727	261	97
728	262	97
729	262	97
730	262	96
731	263	96
732	263	95
733	263	95
734	263	95
735	264	94
736	264	94
737	264	94
738	265	93
739	265	93
740	265	92
741	266	92
742	266	92
743	266	91
744	267	91
745	267	91
746	267	90
747	267	90
748	268	89
749	268	89
750	268	89
751	268	88
752	269	88
753	269	87
754	269	87
755	269	87
756	270	86
757	270	86
758	270	85
759	271	85
760	271	85
761	271	84
762	272	84
763	272	84
764	273	83
765	273	83
766	273	83
767	273	82
768	274	82
769	274	81
770	274	81
771	274	81
772	275	80
773	275	80
774	275	80
775	275	79
776	276	79
777	276	78
778	276	78
